progress,duration,age,english_level,language,rs2,rs1,rd1,rd2,ta1,ta2,ta3,ta4,ps1,ps2,ps3,ps4,pv1,pv2,pv3,pv4,se2,rc4,si4,cr7,ca3,re1,sn1,cr8,se1,si2,se7,rc3,se4,rc2,ca1,rc1,cr1,cr6,se3,si3,sn3,se5,ca2,si1,re4,cr5,re3,se8,ca4,re2,cr2,sn2,se6,sn4,cr4,cr3,rfs4,rfs3,rfs2,rfs1
100,890,2,2nd,dutch,True,6,6,5,7,7,7,5,7,7,6,6,5,2,6,5,3,5,6,6,7,5,6,6,5,6,6,2,5,2,4,5,5,6,6,6,6,6,7,6,5,6,5,4,5,4,3,6,6,6,5,6,61.6,27.7,66.4,61.2
100,401,2,2nd,dutch,True,7,6,6,7,7,7,7,6,3,5,6,2,1,1,3,5,3,7,7,7,6,6,7,6,6,6,3,5,3,7,3,7,7,6,5,6,6,7,6,6,7,5,5,7,5,7,7,5,4,7,7,61.6,61.3,47.0,29.9
100,367,2,2nd,dutch,True,7,5,5,7,7,7,7,5,6,4,6,3,2,3,5,6,6,3,7,6,5,3,7,7,7,6,6,7,4,7,5,6,7,7,3,3,5,6,3,5,7,7,6,7,6,6,5,5,3,6,7,61.6,61.3,66.4,29.9
100,469,2,2nd,dutch,True,7,4,4,3,5,2,1,6,7,5,6,4,4,3,3,5,4,3,5,6,6,5,4,6,7,4,3,7,2,6,4,7,6,7,6,6,6,6,5,6,7,6,4,3,7,6,7,6,3,6,6,61.6,61.3,66.4,61.2
100,383,2,2nd,dutch,True,6,7,7,6,7,6,2,6,7,7,7,4,4,3,4,6,5,6,7,7,5,6,7,7,7,7,5,7,3,7,4,7,7,7,6,6,6,7,6,5,7,5,5,7,5,7,7,4,5,7,7,61.6,27.7,47.0,29.9
100,406,2,2nd,dutch,True,7,1,1,7,7,7,6,6,6,5,7,2,1,2,5,7,6,2,7,7,5,6,6,7,7,7,1,7,1,7,3,7,6,7,7,4,7,7,6,5,7,7,5,7,7,3,7,7,3,6,7,61.6,27.7,66.4,61.2
100,376,2,3rd,russian,True,7,5,4,7,7,5,5,7,7,7,7,2,2,4,4,5,5,4,7,7,7,5,7,7,3,7,5,4,6,7,6,7,7,7,5,5,7,7,5,6,7,7,5,7,7,7,5,5,5,7,7,61.6,27.7,47.0,29.9
100,359,2,2nd,dutch,True,7,7,7,7,7,6,5,7,7,5,5,3,1,1,2,4,3,4,4,7,5,7,4,7,7,7,4,2,5,7,5,5,3,7,7,7,7,7,7,5,3,7,3,7,7,4,7,4,7,3,5,61.6,61.3,47.0,61.2
100,659,2,2nd,dutch,True,6,2,2,5,6,2,2,6,6,5,7,2,2,2,4,5,4,2,3,5,4,2,2,3,4,2,2,6,2,7,3,7,6,6,2,2,2,7,2,4,6,6,4,2,6,7,5,6,2,7,7,61.6,27.7,47.0,29.9
100,849,2,2nd,dutch,True,3,4,5,2,6,5,1,5,7,6,7,4,3,4,4,5,3,5,3,3,4,4,3,3,6,5,5,5,5,3,5,3,4,5,5,4,5,3,5,6,6,6,6,4,5,4,6,5,5,4,3,61.6,27.7,47.0,61.2
